dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
46,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Spain,3jzkkcd5ysauxk07bli7ic2l0,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jzkkcd5ysauxk07bli7ic2l0
43,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Goalkeeper,Spain,3krfyio6dlb6gkoggsmqwkj6c,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3krfyio6dlb6gkoggsmqwkj6c
40,Valde,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,3pxte13sf3ybzb3cgvim1tqtw,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3pxte13sf3ybzb3cgvim1tqtw
38,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,3r4r3w44ski0d4175zfe1iy38,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3r4r3w44ski0d4175zfe1iy38
42,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Spain,3r8kqt2bz34yw8e2h4jdp96hg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3r8kqt2bz34yw8e2h4jdp96hg
48,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,3wieudlmb1vnm7kvdcn4sfok4,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3wieudlmb1vnm7kvdcn4sfok4
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,,Spain,426tiaxzy45r0q8lgdsn44y6s,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/426tiaxzy45r0q8lgdsn44y6s
26,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Goalkeeper,Spain,42mke5h9m4g7idv9q6ltuhkwk,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/42mke5h9m4g7idv9q6ltuhkwk
