liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,Recoveries,Rightside Passes,Substitute On,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Times Tackled,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Blocks,Foul Attempted Tackle,GK Successful Distribution,Goal Kicks,Goals Conceded Outside Box,Key Passes (Attempt Assists),PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Long Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Total Clearances,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Own Half,Yellow Cards,Blocked Shots,Corners Taken (incl short corners),Successful Lay-offs,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Through balls,Total Big Chances Created,Unsuccessful Corners into Box,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Goal Assists,Direct Setpiece Goals,Left Foot Goals,Set Pieces Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Last Player Tackle,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Foul Won Penalty,Penalties Faced,Punches,Straight Red Cards,Total Red Cards,Clean Sheets,Shots Created,Hit Woodwork,Headed Goals,Other Goals,Second Goal Assists,Crosses not Claimed,Saves made - caught,Red Cards - 2nd Yellow,Own Goal Scored,Penalties Saved,Saves from Penalty,Clearances Off the Line,Penalties Off Target
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,9650u1owvf264fwnuzc0zlfro,David Jiménez,Defender,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,3jzkkcd5ysauxk07bli7ic2l0,Ávaro Leiva,Forward,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,38bp85766w04a0nuulq5fiig9,A. Lunin,Goalkeeper,13,2.0,,2.0,3.0,,2.0,3.0,,3.0,,35.0,3.0,5.0,3.0,1.0,,1.0,,,,31.0,67.0,,,1.0,23.0,23.0,1.0,57.0,,71.0,67.0,,225.0,,,1.0,18.0,89.0,71.0,18.0,126.0,,13.0,,0.0,,,27.0,13.0,2.0,,,,,2.0,,,1.0,4.0,,,,5.0,,,,,,6.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,13.0,10.0,3.0,3.0,3.0,,,2.0,,,,,,,,,,1.0,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,4aihdtm9m5evl5ohlx54ccs9g,Joan Martínez,Defender,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,1fkntyd2z8e169yh98k0zst90,F. Mastantuono,Forward,30,10.0,6.0,4.0,7.0,26.0,54.0,55.0,36.0,19.0,101.0,21.0,7.0,4.0,4.0,45.0,30.0,15.0,,,1.0,43.0,98.0,,1.0,17.0,13.0,9.0,3.0,85.0,62.0,25.0,83.0,,292.0,19.0,9.0,6.0,51.0,99.0,85.0,14.0,183.0,16.0,12.0,12.0,0.0,,6.0,,,,6.0,6.0,4.0,5.0,4.0,4.0,6.0,,2.0,1.0,2.0,,2.0,10.0,3.0,25.0,2.0,1.0,,2.0,4.0,,2.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,2.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,1.0,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,Forward,10,4.0,3.0,1.0,10.0,66.0,123.0,73.0,42.0,31.0,310.0,69.0,10.0,12.0,10.0,69.0,39.0,30.0,,,1.0,84.0,286.0,,1.0,65.0,17.0,87.0,1.0,241.0,217.0,46.0,254.0,3.0,822.0,32.0,4.0,11.0,108.0,306.0,261.0,45.0,473.0,25.0,47.0,39.0,4.0,,,,,2.0,27.0,6.0,1.0,13.0,9.0,1.0,18.0,,7.0,,1.0,,1.0,41.0,1.0,86.0,6.0,6.0,,6.0,4.0,2.0,11.0,,16.0,10.0,28.0,,2.0,2.0,7.0,4.0,,14.0,11.0,12.0,2.0,4.0,2.0,3.0,3.0,11.0,9.0,11.0,1.0,5.0,9.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,28.0,1.0,2.0,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,6q69l3ppqfqbryjubcrujfi6t,F. Mendy,Defender,23,2.0,2.0,,2.0,6.0,10.0,10.0,3.0,7.0,6.0,25.0,2.0,3.0,2.0,8.0,1.0,7.0,,,3.0,6.0,68.0,,,5.0,11.0,31.0,,64.0,27.0,37.0,63.0,3.0,135.0,1.0,,3.0,6.0,68.0,64.0,4.0,90.0,1.0,2.0,3.0,0.0,,,,,1.0,2.0,1.0,,,2.0,1.0,3.0,,1.0,1.0,,,4.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,3krfyio6dlb6gkoggsmqwkj6c,Sergio Mestre,Goalkeeper,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,587fw0wi1ke5kv6tdnyx78xec,Javier Navarro,Goalkeeper,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,3r4r3w44ski0d4175zfe1iy38,César Palacios,Midfielder,38,1.0,1.0,,1.0,4.0,1.0,3.0,3.0,,1.0,2.0,1.0,,,2.0,2.0,,,,,1.0,8.0,,,,2.0,1.0,1.0,7.0,4.0,3.0,7.0,,6.0,1.0,2.0,,2.0,8.0,7.0,1.0,10.0,,,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
